user_id,activity_date
420091,2024-01-05
104487,2024-01-05
488003,2024-01-05
525055,2024-01-09
389929,2024-01-09
290683,2024-01-09
488470,2024-01-09
131020,2024-01-09
516701,2024-01-09
120113,2024-01-13
454459,2024-01-13
110643,2024-01-13
102930,2024-01-13
524417,2024-01-13
102862,2024-01-13
104487,2024-01-13
108988,2024-01-13
105229,2024-01-17
432607,2024-01-17
117402,2024-01-17
575471,2024-01-17
524592,2024-01-17
105728,2024-01-17
107802,2024-01-17
101286,2024-01-17
105354,2024-01-17
105147,2024-01-17
523169,2024-01-21
327644,2024-01-21
102048,2024-01-21
375911,2024-01-21
123968,2024-01-21
102930,2024-01-21
488470,2024-01-21
475667,2024-01-21
105354,2024-01-21
419433,2024-01-21
101629,2024-01-21
112724,2024-01-21
523169,2024-01-25
389552,2024-01-25
156440,2024-01-25
111464,2024-01-25
230126,2024-01-25
223728,2024-01-25
121265,2024-01-25
224660,2024-01-25
102695,2024-01-25
525634,2024-01-25
108102,2024-01-25
416250,2024-01-25
529926,2024-01-25
134452,2024-01-25
220960,2024-01-25
112724,2024-01-25
103402,2024-01-29
318982,2024-01-29
420091,2024-01-29
454459,2024-01-29
156440,2024-01-29
113100,2024-01-29
515408,2024-01-29
103154,2024-01-29
104361,2024-01-29
104316,2024-01-29
532106,2024-01-29
533147,2024-01-29
439119,2024-01-29
103013,2024-01-29
469625,2024-01-29
474029,2024-01-29
101629,2024-01-29
119353,2024-01-29
536318,2024-01-29
104882,2024-02-02
389552,2024-02-02
549747,2024-02-02
93895,2024-02-02
110343,2024-02-02
525626,2024-02-02
230126,2024-02-02
223728,2024-02-02
104316,2024-02-02
102930,2024-02-02
313870,2024-02-02
225674,2024-02-02
223329,2024-02-02
134785,2024-02-02
524645,2024-02-02
133984,2024-02-02
104177,2024-02-02
532905,2024-02-02
476780,2024-02-02
91614,2024-02-02
387822,2024-02-02
227192,2024-02-02
369165,2024-02-02
119732,2024-02-02
108342,2024-02-06
536707,2024-02-06
510677,2024-02-06
440831,2024-02-06
524251,2024-02-06
110343,2024-02-06
506523,2024-02-06
280863,2024-02-06
103099,2024-02-06
123968,2024-02-06
104316,2024-02-06
103366,2024-02-06
176337,2024-02-06
426866,2024-02-06
134785,2024-02-06
382066,2024-02-06
534287,2024-02-06
111917,2024-02-06
103138,2024-02-06
120041,2024-02-06
120250,2024-02-06
104928,2024-02-06
104807,2024-02-06
408652,2024-02-06
516578,2024-02-06
108988,2024-02-06
222531,2024-02-06
105116,2024-02-06
280890,2024-02-06
394314,2024-02-10
533865,2024-02-10
222715,2024-02-10
131829,2024-02-10
524251,2024-02-10
135658,2024-02-10
128903,2024-02-10
102114,2024-02-10
277577,2024-02-10
534299,2024-02-10
389929,2024-02-10
405080,2024-02-10
532057,2024-02-10
138252,2024-02-10
103009,2024-02-10
524417,2024-02-10
323060,2024-02-10
270713,2024-02-10
105413,2024-02-10
106470,2024-02-10
